Date,Description,Amount
2026-08-01,ACME PAYROLL,3200.00
2026-08-02,RENT PAYMENT,-1150.00
2026-08-03,ELECTRIC BILL,-88.10
2026-08-04,TRADER JOES,-78.40
2026-08-05,STARBUCKS,-6.25
2026-08-06,SHELL GAS STATION,-38.90
2026-08-08,AMAZON,-45.00
2026-08-10,NETFLIX,-15.99
2026-08-12,CHIPOTLE,-14.30
2026-08-14,CVS PHARMACY,-42.00
2026-08-16,STARBUCKS,-5.85
2026-08-20,UBER TRIP DOWNTOWN,-18.50
2026-08-22,WHOLE FOODS,-84.20
2026-08-25,SPOTIFY,-9.99
2026-08-28,TARGET,-52.75
2026-08-30,AMAZON MARKETPLACE,-31.20
2026-09-01,ACME PAYROLL,3200.00
2026-09-02,BIRTHDAY GIFT FROM MOM,250.00
2026-09-02,RENT PAYMENT,-1150.00
2026-09-03,ELECTRIC BILL,-92.40
2026-09-03,WHOLE FOODS,-128.75
2026-09-04,STARBUCKS,-6.85
2026-09-05,STARBUCKS #4521,-7.15
2026-09-06,NETFLIX,-15.99
2026-09-07,SHELL GAS STATION,-42.10
2026-09-09,AMZN PRIME VIDEO,-14.99
2026-09-10,BEST BUY LAPTOP,-489.00
2026-09-11,CVS PHARMACY,-60.00
2026-09-12,BLUE BOTTLE COFFEE,-5.60
2026-09-13,CHIPOTLE,-15.80
2026-09-14,TARGET,-62.30
2026-09-16,LYFT,-22.40
2026-09-18,SPOTIFY,-9.99
2026-09-20,DOORDASH,-28.75
